"Water","Inoculation","Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Control","Strl","Mono",5,0.582908,0.224955350280895,0.100603091026071,0.64833,0.59582,0.72635,0.13053,0.19561,0.74843
"Control","Strl","Inter",5,1.41908,0.203903544721518,0.0911884373700965,1.47208,1.24389,1.60089,0.357,1.16794,1.6106
"Control","Inoc","Mono",5,0.879902,0.085390252780982,0.0381876819668332,0.88807,0.84046,0.95493,0.11447,0.75566,0.96039
"Control","Inoc","Inter",5,1.324916,0.543562093766664,0.243088358330875,1.36423,0.89453,1.51939,0.62486,0.73841,2.10802
"Moderate","Strl","Mono",5,0.779494,0.192866024042598,0.0862523080618716,0.76384,0.68455,0.89405,0.2095,0.52612,1.02891
"Moderate","Strl","Inter",5,1.227582,0.122425141903124,0.0547501878900886,1.23085,1.16323,1.30633,0.1431,1.06152,1.37598
"Moderate","Inoc","Mono",5,0.830744,0.148029413394771,0.0662007662040252,0.85051,0.83226,0.88788,0.05562,0.59039,0.99268
"Moderate","Inoc","Inter",5,1.395784,0.41562743229965,0.185874238387142,1.39867,1.12901,1.61558,0.48657,0.88373,1.95193
"Severe","Strl","Mono",5,0.395486,0.10250964213185,0.0458437056311987,0.43251,0.41764,0.44534,0.0277,0.21499,0.46695
"Severe","Strl","Inter",5,0.687598,0.250948509698703,0.112227585307713,0.7469,0.74165,0.82444,0.0827899999999999,0.2499,0.8751
"Severe","Inoc","Mono",5,0.141302,0.0897786526408143,0.0401502340466404,0.11613,0.10487,0.15099,0.04612,0.04718,0.28734
"Severe","Inoc","Inter",5,0.683008,0.220004959421373,0.0983892089306546,0.79657,0.52352,0.83715,0.31363,0.37824,0.87956
